name,meal,ingredients,tags
oatmeal_breakfast,breakfast,"oats:60;greek_yogurt:150;banana:100",GF;DAIRY_FREE;LOW_COST
tofu_stir_fry,lunch,"tofu:120;broccoli:100;brown_rice:70",VEG;GF;DAIRY_FREE;LOW_COST
chicken_salad,dinner,"chicken_breast:150;spinach_raw:50;avocado:50",OMNI;GF;DAIRY_FREE
salmon_vegetables,dinner,"salmon:150;broccoli:100;potato:150",PESC;GF;DAIRY_FREE
lentil_soup,dinner,"lentils:100;carrot:50;onion:30",VEG;GF;DAIRY_FREE;LOW_COST
greek_yogurt_snack,snack,"greek_yogurt:200;honey:20;almonds:30",GF;DAIRY_FREE
avocado_toast,breakfast,"whole_wheat_bread:80;avocado:70;tomato:50",VEG;GF
beef_steak_dinner,dinner,"beef_steak:150;potato:200;broccoli:100",OMNI;GF;DAIRY_FREE
cottage_cheese_fruit,snack,"cottage_cheese:150;apple:100;almonds:20",GF;DAIRY_FREE
spinach_omelette,breakfast,"egg:100;spinach_raw:50;cheese:30",OMNI;GF
quinoa_salad,lunch,"quinoa:80;avocado:60;bell_pepper:50",VEG;GF;DAIRY_FREE
banana_smoothie,snack,"banana:150;greek_yogurt:100;milk:100",GF;DAIRY_FREE
chicken_rice_bowl,lunch,"chicken_breast:120;brown_rice:80;broccoli:80",OMNI;GF;DAIRY_FREE
veg_wrap,lunch,"whole_wheat_bread:60;hummus:40;spinach_raw:50;tomato:50",VEG;GF
salmon_salad,dinner,"salmon:120;spinach_raw:80;avocado:60",PESC;GF;DAIRY_FREE
lentil_curry,dinner,"lentils:120;tomato:100;onion:50;garlic:20",VEG;GF;DAIRY_FREE;LOW_COST
peanut_butter_banana,breakfast,"whole_wheat_bread:60;peanut_butter:30;banana:80",VEG;GF;LOW_COST
egg_salad_sandwich,lunch,"egg:100;whole_wheat_bread:80;avocado:40",OMNI;GF
tofu_scramble,breakfast,"tofu:120;spinach_raw:60;bell_pepper:50",VEG;GF;DAIRY_FREE
fruit_salad,snack,"apple:80;banana:80;orange:100",VEG;GF;LOW_COST
